full_name,name,neo,pha,epoch_cal,equinox,e,a,q,i,w,H,ma,ad,n,moid,t_jup,om,per,per_y,class,producer,first_obs,last_obs,diameter,albedo
"   433 Eros (1898 DQ)",Eros,Y,N,20200531.0000000,J2000,.2229512543292728,1.458045728845658,1.132972604730079,10.83054270817127,178.8822944710369,10.4,271.0717323302651,1.783118852961236,.5598186419475724,.148623,4.582,304.2993267065293,643.0654019444289,1.76061711689098,AMO,Giorgini,1893-10-29,2019-02-13,16.84,0.25
"   588 Achilles (1906 TG)",Achilles,N,N,20200531.0000000,J2000,.147121532564098,5.209393775098606,4.442979779176227,10.31972427667486,133.3085095508762,8.3,271.7364434701464,5.975807771020985,.08289403760518733,3.47006,2.946,316.5360491326559,4342.89377620414,11.8901951436116,TJN,"Otto Matic",1906-02-22,2020-01-06,130.099,0.043
"   617 Patroclus (1906 VY)",Patroclus,N,N,20200531.0000000,J2000,.1389665604832871,5.214559560207737,4.489910153690426,22.0517763307761,307.8660818490041,8.2,237.0071671908755,5.939208966725047,.0827708900859872,3.53757,2.836,44.34841429339916,4349.355185452411,11.907885518008,TJN,"Ryan S. Park",1998-04-22,2019-08-17,140.362,0.047
"   624 Hektor (1907 XM)",Hektor,N,N,20200531.0000000,J2000,.02279654721206953,5.262259750367621,5.142298397526192,18.15769723602151,184.24388269331,7.2,202.5084918795885,5.382221103209049,.08164801892810662,4.14985,2.899,342.7910347058902,4409.170053678708,12.0716497020635,TJN,"Otto Matic",1907-02-11,2020-01-26,225,0.025
"   659 Nestor (1908 CS)",Nestor,N,N,20200531.0000000,J2000,.1174476492952609,5.164464314370787,4.557910120778677,4.522629504273476,343.462148807114,8.7,14.89833005054042,5.771018507962897,.08397812089840415,3.54834,2.980,350.7391113921794,4286.830857236306,11.7367032367866,TJN,"Otto Matic",1908-03-23,2020-01-06,112.320,0.035
"   719 Albert (1911 MT)",Albert,Y,N,20200531.0000000,J2000,.5465584653041263,2.63860206439375,1.196451769530403,11.56748478123323,156.17633771,15.4,140.2734217745985,4.080752359257098,.2299551959241748,.203482,3.140,183.8669499802364,1565.522355575327,4.28616661348481,AMO,"Otto Matic",1911-10-04,2020-02-27,,
"   884 Priamus (1917 CQ)",Priamus,N,N,20200531.0000000,J2000,.1232715120606889,5.183376417886961,4.544413769274319,8.915357483079495,335.5280338211409,8.7,324.7322778019994,5.822339066499604,.08351893564248931,3.53053,2.961,301.5611460775589,4310.399758217873,11.8012313708908,TJN,"Otto Matic",1917-11-08,2020-02-03,101.093,0.044
"   887 Alinda (1918 DB)",Alinda,Y,N,20200531.0000000,J2000,.5703317209528221,2.473736933344562,1.062886290965601,9.393853627381491,350.49558500,13.8,294.5791565052811,3.884587575723523,.2533225225855651,.0822169,3.221,110.4342181592923,1421.113276173074,3.89079610177433,AMO,"Otto Matic",1918-02-03,2019-08-27,4.2,0.31
"   911 Agamemnon (1919 FD)",Agamemnon,N,N,20200531.0000000,J2000,.06650282028508435,5.278194957154006,4.927180106488755,21.76270193593425,80.63385068234052,7.9,301.4260610154901,5.629209807819257,.08127854728909052,4.01871,2.852,338.0053060381865,4429.213021236175,12.1265243565672,TJN,"Otto Matic",1919-03-19,2019-12-07,131.038,0.072
"  1036 Ganymed (1924 TD)",Ganymed,Y,N,20200531.0000000,J2000,.5330461318945989,2.664724624129541,1.244303470673,26.67764314200324,132.3646310922465,9.4,4.817745077838993,4.085145777586082,.226582086205885,.344956,3.035,215.5468257685835,1588.828163903849,4.3499744391618,AMO,"Otto Matic",1924-10-23,2019-08-17,37.675,0.238
