name,neo,pha,epoch_cal,equinox,e,a,q,i,w,H,ma,ad,n,moid,t_jup,om,per,per_y,class,producer,first_obs,last_obs,diameter,albedo
Eros,Y,N,20200531.0000000,J2000,.2229512543292728,1.458045728845658,1.132972604730079,10.83054270817127,178.8822944710369,10.4,271.0717323302651,1.783118852961236,.5598186419475724,.148623,4.582,304.2993267065293,643.0654019444289,1.76061711689098,AMO,Giorgini,1893-10-29,2019-02-13,16.84,0.25
Albert,Y,N,20200531.0000000,J2000,.5465584653041263,2.63860206439375,1.196451769530403,11.56748478123323,156.17633771,15.4,140.2734217745985,4.080752359257098,.2299551959241748,.203482,3.140,183.8669499802364,1565.522355575327,4.28616661348481,AMO,"Otto Matic",1911-10-04,2020-02-27,,
Alinda,Y,N,20200531.0000000,J2000,.5703317209528221,2.473736933344562,1.062886290965601,9.393853627381491,350.49558500,13.8,294.5791565052811,3.884587575723523,.2533225225855651,.0822169,3.221,110.4342181592923,1421.113276173074,3.89079610177433,AMO,"Otto Matic",1918-02-03,2019-08-27,4.2,0.31
Ganymed,Y,N,20200531.0000000,J2000,.5330461318945989,2.664724624129541,1.244303470673,26.67764314200324,132.3646310922465,9.4,4.817745077838993,4.085145777586082,.226582086205885,.344956,3.035,215.5468257685835,1588.828163903849,4.3499744391618,AMO,"Otto Matic",1924-10-23,2019-08-17,37.675,0.238
Amor,Y,N,20200531.0000000,J2000,.4352848879791655,1.919498151755429,1.083969613792352,11.87653558869486,26.69479666981462,17.7,38.52240882937755,2.755026689718507,.3706146021760508,.107451,3.781,171.3269978394355,971.3594604375339,2.65943726334712,AMO,"Otto Matic",1932-03-12,2020-01-24,1.0,
Icarus,Y,Y,20200531.0000000,J2000,.8270213269059251,1.078168924000127,.1865002298448085,22.82211332714178,31.39334350716884,16.9,192.0831812938603,1.969837618155446,.8803874820999982,.0342447,5.298,87.99754359357092,408.9108572299187,1.1195369123338,APO,"Otto Matic",1949-07-01,2019-07-27,1.0,0.51
Betulia,Y,N,20200531.0000000,J2000,.4873502364761739,2.197150031438465,1.126368444043296,52.09207037962277,159.5179483080446,14.7,195.0724539815504,3.267931618833634,.3026317600165265,.136136,3.065,62.29781712181257,1189.564505656448,3.25685011815592,AMO,"Otto Matic",1950-05-22,2019-12-10,5.8,0.08
Geographos,Y,Y,20200531.0000000,J2000,.3354548035841314,1.245666863756749,.8278019306439681,13.33704356597447,276.9560671142354,15.3,235.1126424285893,1.663531796869531,.7089264924048996,.0303535,5.074,337.1869754789979,507.8100534496431,1.3903081545507,APO,"Otto Matic",1951-08-31,2020-03-05,2.56,0.290
Ivar,Y,N,20200531.0000000,J2000,.3967830588566115,1.863272945038504,1.123957806421359,8.451869752825099,167.7934595368015,12.7,256.5069003056656,2.602588083655648,.3875157486126411,.111952,3.879,133.1193454265538,928.9945022591953,2.54344832925173,AMO,"Otto Matic",1929-09-25,2020-03-10,9.12,0.15
Toro,Y,N,20200531.0000000,J2000,.4358371096227467,1.367586471655021,.7715415366897262,9.383133496885494,127.206583918429,14.3,290.2506512986624,1.963631406620316,.6162712104475576,.0506645,4.715,274.2452424498807,584.1583930856602,1.5993385163194,APO,"Otto Matic",1948-07-17,2019-06-15,3.4,0.31
Apollo,Y,Y,20200531.0000000,J2000,.5599167398990702,1.470345437077941,.6470744134237867,6.35473160977809,285.9759580870181,16.25,88.54647870988587,2.293616460732095,.55280887491436,.0258141,4.414,35.62713125014458,651.2196463122456,1.78294222125187,APO,"Otto Matic",1930-12-13,2020-02-25,1.5,0.25
Antinous,Y,N,20200531.0000000,J2000,.6065072158844008,2.25841153066709,.888668640880965,18.40043539987664,268.0670173978571,15.3,69.81354883536078,3.628154420453214,.290401897771733,.182709,3.298,346.4403117745943,1239.661320267865,3.39400772147259,APO,"Otto Matic",1948-03-05,2020-01-06,2.1,0.24
Daedalus,Y,N,20200531.0000000,J2000,.614470143274897,1.460916421766513,.563226898770994,22.21196010261123,325.6333774601582,14.7,221.2316228346633,2.358605944762032,.5581693918672597,.269089,4.336,6.621947017236027,644.9654983690201,1.76581929738267,APO,"Otto Matic",1971-03-24,2020-03-10,3.7,0.273
Cerberus,Y,N,20200531.0000000,J2000,.4668530872323081,1.079993935235791,.5757954323787924,16.09595153284522,325.2455054774687,16.7,3.320344196136011,1.584192438092789,.8781568611242813,.156542,5.592,212.9201811283403,409.9495385586368,1.12238066682721,APO,"Otto Matic",1971-10-26,2020-01-24,1.2,0.22
Sisyphus,Y,N,20200531.0000000,J2000,.5380833053464195,1.893699210359323,.8747312799172741,41.19928999503733,293.0630043175578,12.4,104.1846714008141,2.912667140801372,.3782139791777604,.104589,3.513,63.49080127664227,951.8421312259328,2.60600172820242,APO,"Otto Matic",1955-01-26,2020-03-08,8.48,0.15
Quetzalcoatl,Y,N,20200531.0000000,J2000,.5705651799672322,2.543415980989979,1.092231384064897,20.40461297143561,347.8324357485029,18.97,255.5935016573088,3.994600577915061,.2429841695996721,.10802,3.122,162.9367848834301,1481.577999888293,4.05633949319177,AMO,"Otto Matic",1953-03-09,2004-10-09,0.5,0.21
Boreas,Y,N,20200531.0000000,J2000,.4496411687875345,2.273086560382633,1.251013262616949,12.88010276311208,335.8670315890039,14.8,179.6982273277027,3.295159858148317,.2875941929340589,.252842,3.440,340.59907254,1251.763800677793,3.42714250698917,AMO,"Otto Matic",1953-09-01,2020-02-15,3.5,
Cuyo,Y,N,20200531.0000000,J2000,.5055075527456264,2.14907681200409,1.06270225210553,23.95916147566187,194.5059464590879,14.3,254.6226997844903,3.235451371902649,.312842801625663,.0727329,3.435,188.3070364774437,1150.737680807384,3.15054806518107,AMO,"Otto Matic",1954-05-06,2020-03-05,5.7,0.195
Anteros,Y,N,20200531.0000000,J2000,.2559951667053227,1.430462184139215,1.064270778844837,8.706205566935322,338.3739695841051,15.6,188.2367860457212,1.796653589433593,.5760888929206927,.0623068,4.640,246.3297677858405,624.9035598913368,1.71089270333015,AMO,"Otto Matic",1973-03-10,2020-01-16,2.3,0.17
Tezcatlipoca,Y,N,20200531.0000000,J2000,.3645634487547003,1.709577917567304,1.086328296024089,26.86722511059119,115.4449626614019,13.8,49.59813910881653,2.332827539110518,.4409310927937241,.245963,3.996,246.573370426919,816.4541033363115,2.23532950947655,AMO,"Otto Matic",1950-06-19,2019-07-30,4.3,0.25
Midas,Y,Y,20200531.0000000,J2000,.6503515179889546,1.776503077066127,.6211516041841226,39.82959198828007,267.8229779814187,15.2,312.7361103645545,2.931854549948132,.4162508446715432,.00356774,3.611,356.8640431213132,864.8631098492308,2.36786614606223,APO,"Otto Matic",1973-03-06,2020-03-08,3.4,
